LAMMPS data file via write_data, version 22 Jul 2025, timestep = 1000, units = lj

1150 atoms
2 atom types

-20 20 xlo xhi
-20 20 ylo yhi
-20 20 zlo zhi

Masses

1 1
2 5

Pair Coeffs # lj/cut

1 1 1
2 0.5 3

Atoms # atomic

96 1 -9.14875383991095 -19.473382194285126 -19.11853812925196 0 0 0
77 1 -8.48675624709653 -19.52879820041283 -18.21650495344235 0 0 0
37 1 -7.466309200663153 -19.868682575519966 -18.52927324728137 0 0 0
42 1 -8.064352614199167 -19.207502228939138 -19.207469795035735 0 0 0
57 1 -17.20925463966215 -16.924946875504187 -17.867014028378183 0 0 0
93 1 -3.8435076474612093 -14.374689595754058 -18.012600019127103 0 0 0
101 1 -2.952771526736724 -14.068100318020196 -17.42372795951617 0 0 0
91 1 -8.644704150704323 -14.679636661751378 -18.499433414399554 0 0 0
111 1 -1.8848120140165077 -12.823596452951108 -17.508840079499866 0 0 0
32 1 -16.62829719693643 -0.9168026526217935 -0.15437387354008328 0 0 0
11 1 -3.7882884322380077 -12.704907756085843 -16.549178543203535 0 0 0
110 1 -3.957297039349903 -12.486932418271715 -17.627148304285726 0 0 0
1016 2 -1.2544822121714048 -2.071616285748844 -1.9077724720422558 0 0 0
3 1 -15.349804342420756 -7.10012156518093 -18.75274712671165 0 0 0
82 1 -10.785167456043682 -8.827873400668844 -19.919143367191168 0 0 0
17 1 -19.006630765509474 -3.98712708733784 -17.651391342085372 0 0 0
45 1 -18.57998384357689 -4.824591692170797 -18.26506477813445 0 0 0
46 1 -11.672744272250368 -3.264787334850837 -16.259311001655103 0 0 0
95 1 -18.590795729077268 -0.3557490673557186 -18.2886177618743 0 0 0
71 1 -13.933501382604174 -0.8638441157747502 -19.587038638424346 0 0 0
59 1 -3.8096395469477495 -14.560182517818124 -16.8836691056143 0 0 0
12 1 -19.35380729256441 -15.16563255862976 -15.709976342778546 0 0 0
48 1 -6.651451421450678 -14.771379867567566 -16.089561506494476 0 0 0
25 1 -3.9573582222080717 -13.536713843764465 -17.28343959150161 0 0 0
36 1 -3.256295409349745 -13.68487099368638 -16.43647018617738 0 0 0
